slot_id,provider_id,provider_name,specialty,network_status,slot_date,slot_time,visit_type,duration_min,telehealth,address,city,state,zip,lat,lon,phone,available
SLOT00001,PRV0001,"Dr. Fowler, Angel",Geriatrics,In-Network,2026-06-29,11:00 AM,Follow-Up,20,false,33890 Jennifer Squares,Robinsonshire,KY,1352,27.560615,-83.439374,001-626-254-2351x16155,true
SLOT00002,PRV0001,"Dr. Fowler, Angel",Geriatrics,In-Network,2026-06-14,4:30 PM,Follow-Up,60,false,33890 Jennifer Squares,Robinsonshire,KY,1352,27.560615,-83.439374,001-626-254-2351x16155,true
SLOT00003,PRV0001,"Dr. Fowler, Angel",Geriatrics,In-Network,2026-07-03,11:00 AM,Annual Wellness Visit,30,true,33890 Jennifer Squares,Robinsonshire,KY,1352,27.560615,-83.439374,001-626-254-2351x16155,true
SLOT00004,PRV0001,"Dr. Fowler, Angel",Geriatrics,In-Network,2026-06-29,1:00 PM,Follow-Up,15,true,33890 Jennifer Squares,Robinsonshire,KY,1352,27.560615,-83.439374,001-626-254-2351x16155,true
SLOT00005,PRV0001,"Dr. Fowler, Angel",Geriatrics,In-Network,2026-06-16,1:30 PM,Annual Wellness Visit,45,false,33890 Jennifer Squares,Robinsonshire,KY,1352,27.560615,-83.439374,001-626-254-2351x16155,true
SLOT00006,PRV0003,"Dr. Johnson, Leslie",Internal Medicine,In-Network,2026-07-08,10:30 AM,New Patient,30,false,38849 Hurst Locks Suite 328,Daviston,VI,14872,25.685336,-110.630825,(626)291-6697,true
SLOT00007,PRV0003,"Dr. Johnson, Leslie",Internal Medicine,In-Network,2026-06-28,4:00 PM,New Patient,30,false,38849 Hurst Locks Suite 328,Daviston,VI,14872,25.685336,-110.630825,(626)291-6697,true
SLOT00008,PRV0003,"Dr. Johnson, Leslie",Internal Medicine,In-Network,2026-06-20,11:00 AM,New Patient,45,true,38849 Hurst Locks Suite 328,Daviston,VI,14872,25.685336,-110.630825,(626)291-6697,true
SLOT00009,PRV0004,"Dr. Wilson, Nicole",Nephrology,In-Network,2026-07-08,4:30 PM,Follow-Up,20,true,148 Eric Track,New Stephanie,NC,575,29.573266,-88.206009,+1-357-901-5430x391,true
SLOT00010,PRV0004,"Dr. Wilson, Nicole",Nephrology,In-Network,2026-06-13,3:30 PM,Follow-Up,60,true,148 Eric Track,New Stephanie,NC,575,29.573266,-88.206009,+1-357-901-5430x391,true
SLOT00011,PRV0004,"Dr. Wilson, Nicole",Nephrology,In-Network,2026-06-30,2:00 PM,Nephrology Consult,60,true,148 Eric Track,New Stephanie,NC,575,29.573266,-88.206009,+1-357-901-5430x391,true
SLOT00012,PRV0004,"Dr. Wilson, Nicole",Nephrology,In-Network,2026-07-08,10:00 AM,Follow-Up,60,false,148 Eric Track,New Stephanie,NC,575,29.573266,-88.206009,+1-357-901-5430x391,true
SLOT00013,PRV0004,"Dr. Wilson, Nicole",Nephrology,In-Network,2026-07-09,10:00 AM,Follow-Up,30,true,148 Eric Track,New Stephanie,NC,575,29.573266,-88.206009,+1-357-901-5430x391,true
SLOT00014,PRV0005,"Dr. Spence, Amanda",Psychiatry,In-Network,2026-07-03,1:30 PM,Psychiatric Evaluation,20,true,465 Lam Mission,East Jeffreymouth,AK,77611,38.553111,-79.909616,+1-239-730-1031,true
SLOT00015,PRV0005,"Dr. Spence, Amanda",Psychiatry,In-Network,2026-06-27,11:00 AM,Psychiatric Evaluation,60,false,465 Lam Mission,East Jeffreymouth,AK,77611,38.553111,-79.909616,+1-239-730-1031,true
SLOT00016,PRV0005,"Dr. Spence, Amanda",Psychiatry,In-Network,2026-06-17,2:00 PM,Medication Management,60,false,465 Lam Mission,East Jeffreymouth,AK,77611,38.553111,-79.909616,+1-239-730-1031,true
SLOT00017,PRV0005,"Dr. Spence, Amanda",Psychiatry,In-Network,2026-06-29,4:00 PM,Follow-Up,15,true,465 Lam Mission,East Jeffreymouth,AK,77611,38.553111,-79.909616,+1-239-730-1031,true
SLOT00018,PRV0005,"Dr. Spence, Amanda",Psychiatry,In-Network,2026-06-11,4:30 PM,Medication Management,45,true,465 Lam Mission,East Jeffreymouth,AK,77611,38.553111,-79.909616,+1-239-730-1031,true
SLOT00019,PRV0005,"Dr. Spence, Amanda",Psychiatry,In-Network,2026-06-14,4:00 PM,Follow-Up,15,false,465 Lam Mission,East Jeffreymouth,AK,77611,38.553111,-79.909616,+1-239-730-1031,true
SLOT00020,PRV0005,"Dr. Spence, Amanda",Psychiatry,In-Network,2026-07-08,1:30 PM,Follow-Up,20,true,465 Lam Mission,East Jeffreymouth,AK,77611,38.553111,-79.909616,+1-239-730-1031,true
SLOT00021,PRV0005,"Dr. Spence, Amanda",Psychiatry,In-Network,2026-06-24,10:30 AM,Follow-Up,45,false,465 Lam Mission,East Jeffreymouth,AK,77611,38.553111,-79.909616,+1-239-730-1031,true
SLOT00022,PRV0006,"Dr. Young, Elizabeth",OB/GYN,In-Network,2026-06-18,8:00 AM,Preventive Visit,30,true,65667 Emily Rue,North Richardmouth,AS,14823,34.720131,-107.55069,933.587.2624,true
SLOT00023,PRV0006,"Dr. Young, Elizabeth",OB/GYN,In-Network,2026-06-20,11:00 AM,Preventive Visit,20,false,65667 Emily Rue,North Richardmouth,AS,14823,34.720131,-107.55069,933.587.2624,true
SLOT00024,PRV0006,"Dr. Young, Elizabeth",OB/GYN,In-Network,2026-06-12,4:00 PM,Preventive Visit,20,false,65667 Emily Rue,North Richardmouth,AS,14823,34.720131,-107.55069,933.587.2624,true
