provider_id,name,specialty,npi,address,city,state,zip,lat,lon,phone,network_status,accepting_new_patients,hospital_affiliation
PRV0018,"Dr. Green, Joshua",Cardiology,9480831367,777 Christopher Forges,Holtport,TN,76726,31.092244,-109.17537,(678)585-6855x744,In-Network,false,Martinez Medical Center
PRV0031,"Dr. Dougherty, Bradley",Cardiology,8470076617,15921 Joshua Roads Suite 698,Shawnchester,CT,92484,40.174269,-72.763869,883-867-3657,In-Network,false,Blair Medical Center
PRV0042,"Dr. Thompson, Kimberly",Cardiology,7722170430,54868 King Terrace,West Michael,WI,6766,31.406538,-109.010065,+1-754-615-6676x5277,Out-of-Network,false,Owen Medical Center
PRV0017,"Dr. Knight, Blake",Endocrinology,8651850671,7262 Gilbert Plain Suite 769,Marcusbury,MP,11860,40.075089,-101.427141,973-579-9650x752,Out-of-Network,false,Kelly Medical Center
PRV0032,"Dr. Edwards, Larry",Endocrinology,4527111161,80988 Santiago Loop Suite 604,Michaelshire,NY,28385,46.36501,-82.72621,(573)815-8514,In-Network,false,Bruce Medical Center
PRV0007,"Dr. Jones, Lindsey",Family Medicine,8108013267,60260 Baker Tunnel Suite 468,Mooreport,IL,8166,27.133154,-116.970748,001-480-250-0978,Out-of-Network,false,Yu Medical Center
PRV0009,"Dr. Ibarra, Natasha",Family Medicine,5427849808,124 Pamela Summit Apt. 449,Lake Matthew,TX,83631,37.696935,-78.870957,687-440-1640x052,In-Network,false,Figueroa Medical Center
PRV0011,"Dr. Pope, Jeremy",Family Medicine,365414586,14294 Daniel Mews Suite 569,South Rachelborough,KS,6318,44.672308,-76.942849,001-360-688-3561x595,In-Network,false,Hunter Medical Center
PRV0041,"Dr. Bauer, Stephen",Family Medicine,1798089324,95396 Elizabeth Corner Suite 188,South Morganton,SC,51210,30.719096,-112.109137,(740)751-5319x520,In-Network,false,Li Medical Center
PRV0044,"Dr. Rush, Nathan",Family Medicine,1928565431,278 Mcintyre Crest,Kimberlymouth,IL,80700,46.306441,-77.867822,673-612-1727x1551,In-Network,false,York Medical Center
PRV0037,"Dr. Alvarez, Edward",Gastroenterology,715182037,892 Watson Haven Suite 659,Port Crystalmouth,CA,43714,40.386489,-110.859686,486-744-9251,In-Network,false,Collins Medical Center
PRV0047,"Dr. Turner, John",Gastroenterology,6471027677,9255 Hester Curve,Zacharyville,MD,32186,34.729172,-72.219483,514.473.2104x696,Out-of-Network,false,Li Medical Center
PRV0012,"Dr. Estrada, Mark",Geriatrics,4823662994,044 Russell Prairie Suite 777,New Thomas,MH,96964,44.18454,-113.541987,(514)589-5134,In-Network,false,Hernandez Medical Center
PRV0023,"Dr. Stone, Cindy",Geriatrics,7703482477,93248 Andrea Course,Port Robin,NH,15897,41.576602,-86.551061,+1-827-548-4677x3782,In-Network,false,Weeks Medical Center
PRV0040,"Dr. Walker, Shannon",Geriatrics,5060685361,05152 Benjamin Village Suite 277,North Andrewborough,MP,20098,40.029476,-88.398653,+1-298-561-4341,In-Network,false,Barnes Medical Center
PRV0008,"Dr. Miller, Jacob",Internal Medicine,9136193990,9985 Harris Stravenue,Johnfurt,DC,88540,41.783831,-94.116139,+1-647-451-0799x1183,Out-of-Network,false,Mahoney Medical Center
PRV0046,"Dr. Martin, Sarah",Internal Medicine,3584143842,818 Brittany Prairie Apt. 299,Meganshire,AZ,4219,47.662103,-108.209441,909-643-9690,In-Network,false,May Medical Center
PRV0002,"Dr. Herrera, Teresa",OB/GYN,6184959310,1316 Chavez Village,Franciscostad,IL,88342,27.357389,-83.485277,719-228-3276x483,In-Network,false,Perez Medical Center
PRV0006,"Dr. Young, Elizabeth",OB/GYN,3829973763,65667 Emily Rue,North Richardmouth,AS,14823,34.720131,-107.55069,933.587.2624,In-Network,false,Baxter Medical Center
PRV0016,"Dr. Ruiz, Kaitlyn",Oncology,531003309,27193 Lyons Trafficway,Garyville,WI,21966,34.22679,-118.558193,619-304-9663x1931,Out-of-Network,false,Hogan Medical Center
PRV0033,"Dr. Villegas, Loretta",Orthopedics,9809402445,22961 Joyce Burgs Apt. 836,Chavezburgh,MN,41347,47.888435,-88.206341,001-859-991-0229x0147,In-Network,false,Lawson Medical Center
PRV0045,"Dr. Joseph, Sara",Psychiatry,2583132370,957 Cheryl Corners Apt. 467,Hammondshire,CA,16927,29.916188,-101.145905,317-478-5289x22680,In-Network,false,Torres Medical Center
PRV0010,"Dr. Arnold, Ronald",Pulmonology,112805982,04505 Evelyn Shores Apt. 586,East Michelle,AS,23707,29.422638,-118.383132,(902)756-3421x60733,In-Network,false,Torres Medical Center
PRV0028,"Dr. Jones, Karen",Pulmonology,3685160481,4965 Emily Mountains Apt. 985,Lake Bryan,GU,61353,32.455589,-120.987209,001-446-812-0047x113,Out-of-Network,false,Chavez Medical Center
PRV0020,"Dr. Woods, Lynn",Cardiology,6719022941,86999 Kimberly Light,Kerrport,VI,77640,36.719105,-117.272711,(349)490-9133x41232,In-Network,true,Smith Medical Center
PRV0021,"Dr. Hayes, Brittney",Cardiology,4034471349,1832 Serrano Cliffs,East Laurashire,PW,38329,39.431259,-80.811873,217.846.4887x719,In-Network,true,Navarro Medical Center
PRV0027,"Dr. Barrett, Joshua",Cardiology,9097439533,210 Kramer Bypass Suite 214,Julieburgh,ID,17823,33.600019,-113.59945,+1-758-384-2474,Out-of-Network,true,Mcdonald Medical Center
PRV0048,"Dr. Peck, Jennifer",Cardiology,3278774701,733 Williams Haven Suite 974,Port Danielberg,FM,35165,29.367651,-110.679553,001-356-850-6098x3584,In-Network,true,Gordon Medical Center
PRV0029,"Dr. Santiago, Julia",Endocrinology,8692617964,537 Sampson Walk,Corystad,ND,85019,26.332279,-76.343501,(706)543-1713x900,Out-of-Network,true,Zhang Medical Center
PRV0038,"Dr. Douglas, Eileen",Endocrinology,2914865281,505 White Forest Suite 733,East Chris,PR,13757,43.046247,-80.010156,988.205.9296x22292,In-Network,true,Jenkins Medical Center
PRV0034,"Dr. Perry, Jason",Family Medicine,8156149784,69003 Dougherty Trafficway,Port Jonathan,MD,16227,30.701829,-118.670653,7763226838,In-Network,true,Sanders Medical Center
PRV0036,"Dr. Hernandez, Katherine",Family Medicine,1277997995,71774 Vargas Knoll Apt. 477,North Miguelport,CA,84998,45.82466,-77.298959,999-586-7980,In-Network,true,Morris Medical Center
